name,start_date,end_date,created_by,updated_by,dealer_id,external_v_code,external_ds_code
Feedfish,06/09/2021,16/03/2022,1,1,408,object-oriented,tangible
Realbridge,13/11/2021,05/12/2021,2,2,1026,Innovative,full-range
Thoughtsphere,29/08/2021,17/10/2021,3,3,3308,Proactive,coherent
Eabox,29/09/2021,16/07/2021,4,4,2335,Reactive,migration
Wordware,19/01/2022,23/06/2021,5,5,4956,value-added,24 hour
Fanoodle,18/06/2021,10/06/2022,6,6,1588,adapter,Implemented
Jabbersphere,13/01/2022,05/11/2021,7,7,2920,Persistent,core
Linktype,22/07/2021,28/03/2022,8,8,2996,motivating,Multi-channelled
Camido,30/10/2021,11/09/2021,9,9,248,tertiary,Re-contextualized
Teklist,15/08/2021,27/03/2022,10,10,128,intermediate,workforce
Buzzshare,06/02/2022,12/07/2021,11,11,155,Reactive,access
Skiptube,25/12/2021,18/03/2022,12,12,3082,Synergistic,Centralized
Trunyx,15/01/2022,11/03/2022,13,13,4395,mobile,zero administration
Dabfeed,23/06/2021,20/11/2021,14,14,3801,Implemented,open architecture
Jabbercube,22/04/2022,28/07/2021,15,15,453,Quality-focused,optimal
Eire,27/09/2021,11/06/2022,16,16,1999,moratorium,productivity
Leexo,16/01/2022,29/07/2021,17,17,2328,Diverse,Seamless
Realbuzz,23/10/2021,18/06/2021,18,18,3833,instruction set,Focused
Blognation,08/05/2022,31/05/2022,19,19,203,cohesive,Self-enabling
Yakitri,14/03/2022,28/04/2022,20,20,1677,Triple-buffered,bandwidth-monitored
Kamba,27/07/2021,03/12/2021,21,21,2078,Assimilated,bottom-line
Eamia,30/06/2021,31/05/2022,22,22,3424,explicit,upward-trending
Quimba,20/10/2021,25/06/2021,23,23,2451,Persistent,interactive
Gigazoom,29/03/2022,24/08/2021,24,24,2286,Assimilated,system-worthy
Brainlounge,27/12/2021,31/10/2021,25,25,3233,leading edge,Proactive
Eimbee,31/10/2021,09/07/2021,26,26,3915,help-desk,Universal
Skinder,03/12/2021,19/11/2021,27,27,2749,circuit,Optimized
Pixoboo,25/08/2021,20/09/2021,28,28,2355,Customer-focused,optimizing
Topdrive,09/01/2022,21/10/2021,29,29,3080,open system,context-sensitive
Voonder,15/11/2021,05/05/2022,30,30,3396,Extended,Public-key
Camimbo,13/03/2022,10/10/2021,31,31,1315,Visionary,Optimized
Cogibox,05/08/2021,19/05/2022,32,32,2816,data-warehouse,extranet
Twiyo,06/03/2022,22/02/2022,33,33,112,archive,Triple-buffered
Brainsphere,20/04/2022,11/10/2021,34,34,1457,exuding,analyzer
Edgeclub,12/02/2022,07/04/2022,35,35,2585,even-keeled,Front-line
Skajo,18/03/2022,23/04/2022,36,36,2645,local,secondary
Photolist,25/10/2021,29/09/2021,37,37,2737,Quality-focused,reciprocal
Browsedrive,02/05/2022,10/07/2021,38,38,2602,tertiary,discrete
Talane,09/02/2022,15/12/2021,39,39,1997,upward-trending,utilisation
Chatterpoint,23/11/2021,08/04/2022,40,40,4719,client-driven,Synergistic
Jayo,13/03/2022,25/01/2022,41,41,37,portal,Optimized
Yotz,25/04/2022,11/10/2021,42,42,4490,secured line,application
Jatri,01/09/2021,17/10/2021,43,43,3114,Cross-group,Integrated
Meevee,27/05/2022,20/12/2021,44,44,4942,forecast,static
Realmix,14/12/2021,28/06/2021,45,45,4311,frame,foreground
Youbridge,12/07/2021,19/06/2021,46,46,1764,Reactive,directional
Demizz,29/11/2021,17/10/2021,47,47,3654,Reverse-engineered,database
Jetwire,07/04/2022,16/09/2021,48,48,3608,attitude,Enhanced
Thoughtworks,11/03/2022,14/02/2022,49,49,2882,instruction set,methodical
Katz,21/07/2021,02/06/2022,50,50,1650,parallelism,info-mediaries
Wordtune,07/10/2021,18/07/2021,51,51,2631,encoding,Upgradable
Dynabox,19/09/2021,28/04/2022,52,52,3938,Multi-tiered,infrastructure
Rhynoodle,07/05/2022,21/11/2021,53,53,917,global,orchestration
Viva,05/08/2021,31/12/2021,54,54,4003,installation,projection
Realcube,06/07/2021,17/03/2022,55,55,2171,help-desk,project
Jaxspan,04/04/2022,20/03/2022,56,56,478,incremental,moratorium
Muxo,19/03/2022,25/08/2021,57,57,4745,emulation,Multi-tiered
Mudo,23/06/2021,12/02/2022,58,58,1070,Total,tertiary
Tagcat,13/02/2022,02/08/2021,59,59,3078,data-warehouse,optimizing
Gigaclub,01/01/2022,03/10/2021,60,60,900,hub,artificial intelligence
Camido,08/05/2022,12/09/2021,61,61,2182,approach,optimal
Gigazoom,28/06/2021,02/06/2022,62,62,2726,Diverse,web-enabled
Oloo,03/09/2021,19/05/2022,63,63,1602,content-based,process improvement
Zoovu,19/04/2022,20/08/2021,64,64,331,24 hour,open architecture
Chatterpoint,10/05/2022,23/09/2021,65,65,2540,framework,Optimized
Twinder,24/04/2022,02/09/2021,66,66,105,Extended,well-modulated
Feedfire,08/05/2022,02/11/2021,67,67,3835,archive,maximized
Quimba,28/01/2022,10/06/2022,68,68,1920,extranet,Customer-focused
